question,Cluster_Label
when did arjuna want to see krishna's divine form?,44
where in gita did arjuna ask krishna to reveal his divine form?,44
where in the gita did krishna start revealing his divine form to arjuna?,44
what did arjuna first see in krishna's divine form?,44
did krishna show arjuna the whole universe in his divine form?,44
is it possible to see god with our own eyes?,35
what did sanjay say on seeing krishna's divine form?,55
how did sanjay describe krishna's divine form?,55
what was krishna wearing when he showed his divine form?,55
how was the splendour of krishna's divine form?,55
how vast was krishna's divine form?,55
what was arjuna's physical reaction on seeing krishna's divine form?,44
did arjuna see other gods in krishna's divine form?,44
did krishna's divine form have a beginning and an end? what is the proof of god's existence? what is the proof of god? how do we know that god exists?,55
how can we describe krishna's divine form?,55
"after seeing krishna's divine form, was arjuna convinced that he indeed is the supreme god?",44
how many arms and eyes did krishna's divine form have?,55
did krishna's divine form invoke love or fear?,55
are the devas afraid of the supreme god?,19
how do the devas look upon god?,27
was arjuna terrified after seeing krishna's divine form?,44
why was arjuna scared after seeing krishna's divine form?,44
did arjuna feel comfortable on seeing krishna's divine form?,44
did arjuna see the kauravas inside krishna?,44
did arjuna see warriors being crushed by krishna?,18
what did arjuna compare krishna's mouth with?,44
what did arjuna compare the creatures entering krishna's mouth with?,44
how did arjuna describe various living beings entering krishna's divine form?,44
what did arjuna ask krishna to do after seeing his terrifying divine form?,44
were the warriors in the mahabharata war destined to die?,46
was arjuna merely an intrument in the war to carry out mass termination of human beings?,18
how did krishna convince arjuna that he is going to win in the war?,18
was arjuna choked with emotion on seeing krishna's divine form?,44
who is afraid of god?,19
why do the sages bow down to god?,48
who is the knower as well as the object of knowledge?,59
what does arjuna compare krishna with?,44
did arjuna finally realise that krishna was god himself?,44
when did arjuna develop devotion towards krishna?,44
did arjuna ever treat krishna with disrespect?,44
did arjuna realise that krishna was the highest being?,44
when did arjuna ask for krishna's mercy?,44
was arjuna delighted after seeing krishna's divine form?,44
when did arjuna ask krishna to show his gracious form?,44
had anyone seen krishna's divine form before arjuna?,44
can we get to see krishna's divine form through austerities? can we get to see god through austerities?,55
did krishna get back to his usual form in the war?,55
when krishna get back to his usual form in the war?,55
when did arjuna gain his composure after seeing the divine form?,44
is it easy to get to see god's divine  form? is it easy to get to see god?,27
can we get to see krishna's divine form through rituals?,55
is devotion necessary to know god?,10
what happens to those who have no enemies?,37
when did arjuna start asking about devotion?,26
who is considered to be the highest among yogis?,24
what happens to those who meditate on formless god?,37
what happens after we have controlled our senses?,20
is god with form or formless?,27
what is the use of having faith in god?,10
is it useful to pray to god?,10
what should we fix our mind on during meditation? where does krishna talk about surrender? where does gita talk about surrender?,3
what do i do if i am unable to focus my mind?,20
what do i do if i am unable to practice yoga?,23
what do i do if i am unable to do selfless service?,15
is there anything better than meditation for spiritual growth?,36
why should we develop compassion?,61
are people with a firm conviction dear to god? who is dear to god?,19
are people free from fear and aversion dear to god?,19
are people free from desires and agony dear to god? who is a true devotee?,19
are people free from hatred and full of devotion dear to god?,19
are people free from all attachment dear to god?,19
are people with a firm mind dear to god?,19
are people with faith dear to god?,19
what is the concept of kshetra (field) and kshetrajna (knower of the field)?,39
who is the kshetrajna (knower of all fields)?,39
what are the properties of the kshetra (field)?,39
which is the most conclusive reference for learning vedanta?,62
what are the various elements of prakriti (physical nature)?,33
what all constitutes the kshetra (field)?,39
are humility and sincerity useful for spiritual growth?,36
is ego a hindrance in spiritual growth?,36
is attachment to family members a hindrance to spiritual growth?,36
does solitude help in spiritual growth?,36
what is true knowledge?,59
how can i obtain freedom from death?,3
how can we describe brahman?,50
what is the relation between gunas and brahman?,50
is it possible to comprehend brahman?,50
is there one undivided brahman or multiple brahmans?,50
how can i attain the state of brahman?,50
how does it help to have the knowledge of kshetra and kshetrajna? who is fit to attain salvation?,39
when did prakriti and purusha originate?,33
what is the role of the self or purusha in human experience?,33
who experiences the nature around perceived through the sense organs?,35
what is the role of the self or seer in the human body?,35
what is the benefit of gaining knowledge of purusha and prakriti?,33
what are the various ways of realising or perceiving the self within the body?,38
what happens if we have only a partial or slightly incorrect knowledge of the self?,2
is it possible for a human or another living being to exist without the presence of the kshetrajna or self in the body?,35
is it possible to see and experience things as they truly are?,35
how can we avoid injuring our own mind?,20
are actions done by prakriti (nature) or by the self or soul residing in the body?,33
is it possible to perceive brahman or consciousness in all beings?,35
does the self or soul undergo changes with time?,40
can you give me an analogy to understand the immutability of consciousness or purusha?,16
can we think of consciousness like the sun which illuminates the whole world?,35
what is the use of learning to differentiate between purusha (consciousness) and prakriti (physical nature)?,33
does krishna truly reveal all spiritual knowledge in the gita?,8
what happens to those who attain unity with god?,37
how are all living beings born in this universe?,40
who are the father and the mother of the universe?,56
what are the gunas of prakriti?,33
what is sattva?,22
what is rajas?,4
what is tamas?,22
"what are the effects of sattva, rajas and tamas?",22
which among the three gunas is the most powerful?,54
what is sign of sattva in a person?,22
what is the sign of rajas in a person?,4
what is the sign of tamas in a person?,22
what happens to a human being in whom sattva is predominant?,22
what happens to a human being in whom rajas is predominant? what happens to a human being in whom tamas is predominant?,22
what is the result of sattvic action? what is the result of rajasic action? what is the result of tamasic action?,22
what does sattva lead to? what does rajas lead to? what does tamas lead to?,22
what happens to those who abide in sattva? what happens to those who abide in rajas? what happens to those who abide in tamas?,22
who performs all the actions in this universe?,56
what happens when the self goes beyond the three gunas of prakriti?,33
what did arjuna wanted to know about the three gunas?,26
how does a person who has transcended the three gunas behave?,54
what is the attitude of a person who has transcended the three gunas?,54
how does a person who has transcended the three gunas treat pleasure and pain?,54
how does a person who has transcended the three gunas treat honor and dishonor?,54
what happens to those who serve god with unwavering devotion?,48
what is the relation between god and brahman? who is god? what is god?,50
what does the gita say about the inverted peepul tree? what does the gita say about the inverted asvattha tree?,7
what does the krishna say about the asvattha tree?,13
what is the reference about the asvattha tree in the gita? what is the reference about the peepal tree in the gita?,7
what is the purpose or goal of life?,41
is it possible to become completely free of desires? is it possible to become completely free of dualities of life?,17
what happens to those who reach the supreme abode of god?,37
why do human beings feel so attracted by sensual objects?,17
does the soul or self carry the mind with itself after death of the body?,58
how does the soul or self experiences the various sense objects?,35
why can't all human beings perceive the soul or self?,35
why can't we perceive the self or soul?,35
where do the sun and moon draw their illumination from?,56
what is source of nourishment?,61
does the soul or self also play a role in various bodily functions?,25
what is the source of memory and knowledge in this universe?,59
what is the difference between kshara and akshara purusha? are there two kinds of purushas? how many kinds of purushas are there?,39
who supports the whole universe? who is the supreme purusha?,56
why is god called purushottama or the supreme person?,33
what should be our attitude towards god?,27
what is the benefit of learning gita? why should we learn the gita?,49
what are the qualities of people with a divine nature?,29
what are the qualities of spiritual people?,36
what are the qualities of people with a spiritual nature?,36
what are the qualities of a person of demonic nature? what are the qualities of a person of evil nature?,29
what does divine or spiritual nature in a person lead to? what does demonic nature in a person lead to?,29
where in the gita does krishna describe people with demonic nature?,8
what are the traits of people with demonic nature?,29
what are the beliefs of people with demonic nature?,29
why are some people so cruel and destructive? why are some people so evil?,29
what is the result of insatiable desires?,17
what motivates people with a demonic nature to act?,29
why are some people so unethical and immoral?,41
what is the attitude of a person with demonic nature?,29
what is the attitude of a person with evil nature?,29
what is the attitude of arrogant people?,2
eventually what happens to people with a demonic nature? eventually what happens to people with a evil nature?,29
what is the result of sacrifices and rituals performed by people of demonic nature? what is the result of sacrifices and rituals performed by people of evil nature?,12
how do egoistic people view god? how do evil people view god? how do demonic people view god?,29
eventually what happens to people with a hateful nature? eventually what happens to people with a cruel nature?,29
is there any possibility of salvation for people with a demonic nature? is there any possibility of salvation for people with an evil nature?,29
what are the gateways to hell? is there a concept of hell and heaven in hinduism? which people go to hell?,9
what kind of people work for their inner development? what kind of people become spiritual? can everyone become spiritual?,36
what happens to those who do not follow the scriptures?,37
is it necessary to follow the scriptures? are scriptures relevant for modern times?,62
what did arjuna want to know about people who do not follow the scriptures?,26
what are the three types of faith that people have?,4
does each person have faith in something? why do different people have faith in different things? what leads to the differences in faith we see among human beings?,59
what do the sattvic people worship? what do the rajasic people worship? what do the tamasic people worship?,22
what kind of austerities are performed by people of demonic nature? what kind of austerities are performed by people of evil nature?,29
is it advisable to perform extreme austerities? is it good to perform extreme austerities? is it beneficial to perform extreme austerities?,41
how many kinds of foods are there?,51
"which foods are considered to be sattvic? which foods are considered to be pure? are sweets sattvic, rajasic or tamasic?",22
"which foods are considered to be rajasic? which foods are considered to generate energy? are sour foods sattvic, rajasic or tamasic?",22
"which foods are considered to be tamasic? which foods are considered to generate lethargy? are stale foods sattvic, rajasic or tamasic?",22
what kind of sacrifice is considered sattvic? what kind of sacrifice is considered pure?,12
what kind of sacrifice is considered rajasic?,12
what kind of sacrifice is considered tamasic?,12
what is considered to be austerity of the body? what is considered to be bodily austerity?,41
what is considered to be austerity of speech? is recitation of scriptures a good idea?,41
what is considered to be austerity of the mind?,16
what is considered to be sattvic austerity? what is considered to be austerity of sattva? what is considered to be pure austerity?,22
what is considered to be rajasic austerity? what is considered to be austerity of rajas?,4
what is considered to be tamasic austerity? what is considered to be austerity of tamas?,22
what kind of gifts are considered to be sattvic? what kind of gifts are considered to be pure?,12
what kind of gifts are considered to be rajasic?,4
what kind of gifts are considered to be tamasic?,12
what is the meaning and significance of om tat sat? what is the threefold designation of brahman?,22
what is the significance of om? what is the meaning of om? what is the significance of aum? what is the meaning of aum?,31
how should we perform sacrifices? what is the best way of performing sacrifices? how should we perform rituals? what is the best way of performing rituals? what does the word tat mean?,12
what is the meaning of sat?,22
what is the significance of sat?,22
what is asat or untruth?,2
was arjuna curious about renunciation?,26
what is sannyasa? what is renunciation?,39
should all actions be abandoned as evil?,32
how many types of tyaga are there?,51
should we abandon all sacrifices and austerities? what are the means of purification for the wise?,12
is there any need of performing the rituals and sacrifices?,12
is it good to renounce rituals and sacrifices?,12
what happens to those who abandon the rituals and sacrifices?,12
what is a sattvic way of performing rituals and sacrifices?,12
what are the characteristics of a sattvic person? what are the characteristics of a pure person?,4
is it possible to completely abandon actions? is it possible to completely give up actions?,32
what are the kinds of fruits of actions?,32
what are the causes that lead to accomplishment of all actions?,32
what are the causes that determine the fruits of our actions?,32
do all actions have similar causes at a fundamental level?,32
can everyone perceive the self?,35
what kind of attitude should we have while performing action? who is the doer of all actions?,32
what incites a person to act? what incites a person to perform action?,32
how many kinds of knowledge are there? how many kinds of actions are there?,59
which knowledge is considered to be sattvic?,59
what kind of knowledge is considered to be rajasic?,59
what kind of knowledge is considered to be tamasic?,59
which action is considered to be sattvic?,22
what kind of action is considered to be rajasic?,32
what kind of action is considered to be tamasic?,22
what kind of person is considered sattvic?,22
what kind of person is considered rajasic?,4
what kind of person is considered tamasic?,22
what are the different kinds of buddhi?,51
what kind of buddhi is considered sattvic?,22
what kind of buddhi is considered rajasic?,4
what kind of buddhi is considered tamasic?,22
what kind of firmness is considered sattvic?,22
what kind of firmness is considered rajasic?,4
what kind of firmness is considered tamasic?,22
how many kinds of pleasures are there?,17
what kind of pleasure is considered sattvic?,17
what kind of pleasure is considered rajasic?,17
what kind of pleasure is considered tamasic?,17
is there anyone in this universe free from the three gunas?,54
what is the varna system in hinduism? what is the caste system in hinduism? is caste decided by birth or by personal preference? is varna decided by birth or by personal preference?,43
