question,Cluster_Label
Who is a sannyasin?,33
what is the difference between the path of knowledge and Karma Yoga?,26
for how long should a yogi continue to perform action?,17
when is a person said to be established in Yoga?,26
Can our self be our enemy? Can I be my own enemy? Who is our enemy?,4
who is our friend and who is our enemy?,4
what are the traits of a person with self control? ,30
who is a real saint? ,33
how should we treat our enemies and haters?,10
how can a yogi control his mind? ,49
how should we sit for meditation? While meditating should we sit on the floor or on a chair or on the bed? Can I meditate while sitting in a chair? Can I meditate while sleeping in my bed? Can I meditate while sitting on my bed?,9
what is the best way to meditate? ,23
how should we hold our body during meditation?,9
what should we think during meditation? ,51
What is the benefit of meditation? ,23
how long should we sleep daily? What is the importance of moderation? Is it good to fast for a long time?,15
is it good to be a workaholic? Is overeating a bad idea?,23
who is truly spiritual? ,21
what is a simple analogy for the mind of a yogi? Where in the Gita is the analogy of a lamp in the wind? What are the attributes of a meditative mind?,58
what happens when the mind is controlled by the practice of Yoga? ,32
what is absolute happiness? ,1
do Yogis also have desires? How can we handle sorrow? How can we handle grief?,33
how can we get rid of sorrow and pain? How can we get rid of misery?,51
How should we handle our desires?,15
how can we withdraw the senses from the objects? ,15
How can I control my unsteady and fickle mind?,51
Is it possible to become free from evil?,5
What happens when the mind becomes free from impurities?,51
How can we experience the same Self in all beings?,21
Where can we find God?,14
Do all Yogis live in the same way?,17
Who is the highest Yogi?,36
Was Arjuna convinced that the fickle mind can be controlled?,55
Why did Arjuna think that controlling the mind is very difficult?,18
What are the primary ingredients required to control the mind?,51
What kind of person can attain Yoga?,32
What did Arjuna ask about those who are unable to control themselves?,18
What did Arjuna ask about those who fail to attain perfection in Yoga?,55
Did Arjuna have full faith in Krishna?,12
Do those who fail to attain perfection in Yoga end up suffering like others?,44
How can we attain birth in a pure family?,47
What happens to those who fail to attain perfection in Yoga?,44
Does the good effects of our Yoga practice get carried forward to next birth?,26
Does our practice of Yoga in this life get carried forward to the next life?,32
Is it possible to attain the state of Yoga in just one human birth?,44
Are Yogis higher than the ritualists?,49
Who is the best Yogi?,36
Did Arjuna get to hear the full knowledge of Yoga in the Gita?,16
Did Krishna reveal the full knowledge of Yoga in the Gita?,16
Is it easy to know the truth?,47
How many parts does Prakriti have? What is Prakriti? What are the constituents of Prakriti? What is Prakriti composed of?,26
Is there something beyond or deeper than the physical world we see around us?,47
What is the source of birth of all beings?,54
Is there anything higher than God in this universe?,27
What is Om? What is AUM?,54
What can God be compared with in the physical world?,59
What is intelligence?,33
Can we compare God with desires?,59
What are the three states of physical matter or Prakriti?,44
Why is it so difficult to know God?,14
How can we overcome the delusion caused by Maya?,33
What is a sign of ignorance in human beings?,5
What kind of people worship God?,14
Who is dearest to God? Are the wise dear to God?,27
Who is closest to God?,59
Is it easy to find a man of knowledge?,21
How do worldly minded people worship God?,42
Is there only way to worship God? Can we worship God in any way we like?,27
Does God answer prayers for fulfilment of material desires?,14
What is the highest form of prayer?,62
How do ignorant people view an Avatar?,33
Can deluded people understand God?,42
Is it possible for the human mind to understand God?,14
What is the primary cause of delusion?,38
How do pray to God once they are free from delusions?,10
What should we ask for from God?,42
Is it possible to remember God at the time of death?,14
What did Arjuna want to know about Brahman?,39
What did Arjuna want to know about sacrifice?,39
What is Brahman?,4
Can God exist in a human body? What is the Purusha? Who is Purusha?,4
What is the best way to die?,51
How is the next birth of a person decided?,47
Why should we think about God?,59
What happens if we meditate and do Yoga with focus?,32
What happens to those who meditate on God?,5
How should one leave one's body while dying?,51
Is there any imperishable goal in this universe?,5
How should one do Yoga? How to practice concentration?,32
What is the best way to leave the body after death?,51
What happens to those who remember God uninterruptedly?,42
Are Yogis who have attained the higher perfection in this life once again born in a human body?,61
Is there rebirth for a person who has reached God?,33
How long is one day of Brahma?,36
How does the universe manifest from the unmanifested?,21
What makes a soul born again and again?,47
Is there anything eternal in this every changing universe?,33
What happens to those who have reached God's abode?,10
What is the benefit of developing devotion?,10
Is there any significance of time in the attainment of Yoga?,8
What is the path in time followed by those who attain Yoga?,26
What happens after the Yogi attains the lunar light?,17
What are the two black and white paths of the world?,44
Why should we practice Yoga steadfastly?,44
Is it possible to transcend the rituals of the Vedas?,8
Why did Krishna reveal such deep knowledge and truth to Arjuna?,53
Is there something beyond the reach of science? ,47
What happens to those who don't have faith?,5
Where does God live?,27
Does God exist in all beings?,27
What is the relation between God and invidual human beings?,59
How does the cycle of time proceed?,44
Who or what causes human beings to be born?,10
Does God get tangled in the web of Karma?,27
Is God involved in the birth and death of living beings?,59
Is it wise to believe in God?,14
What is the nature of deluded people?,48
How do wise people view God?,14
How do wise people treat God?,42
How else can one worship God?,59
What are the characteristics of God?,59
Who is the father of this world? Who is the mother of this world? Who is the dispenser of the fruits of action?,33
Who is the supporter of this universe? Who is the witness of this universe?,4
Who is the cause of immortality and death?,38
How can we reach heaven?,15
Is heaven eternal?,47
Does God take care of those who worship him or her?,59
Are the Gods of all religions the same?,27
Who is the lord of all the sacrifices?,27
Do all religious people reach the same God?,27
What should we give to God?,10
What kind of attitude should we have towards God? How should we eat our food? What is devotion? What is love? What is Bhakti? What is faith? How can I best utilise my time? What is the best use of time? What is the best way to live?,38
Can we get rid of the bad results of our actions or Karma and keep only the good ones?,15
Does God treat everyone equally?,59
Do sinful people also have a hope for liberation?,5
Does God take care of his devotees?,14
Is liberation reserved only for upper caste people? Can women attain libertation? Can lower caste people attain liberation? Can shudras attain liberation?,26
Can royal saints attain salvation?,33
What is the best way to achieve salvation?,30
Was Arjuna dear to Krishna?,12
How difficult to know and understand God?,14
How can we git rid of all sin?,26
What are the qualities of a spiritual person or a devotee?,5
What qualities arise from God?,59
What was Manu?,4
How can we become established in unshakeable Yoga?,32
What is the origin of this universe?,61
How do the Yogis live?,17
Does God help those who worship him (or her)?,27
Does God dispel the ignorance of those who are devoted to him (or her)?,14
What did Arjuna say in praise of Krishna?,12
What did Arjuna say about Narada?,53
Does Arjuna believe all that Krishna told him in the Gita?,6
Did Arjuna believe in Krishna?,12
What more did Arjuna want to hear from Krishna?,12
What did Arjuna ask about meditation?,55
Did Arjuna ever ask Krishna to repeat what he had already said?,53
Did Krishna ever repeat what he had already said in the Gita?,6
Is God same as the Self that dwells in all beings?,27
Which luminous body did Krishna compare God with?,2
Which Veda did Krishna compare God with?,39
Which mountain did Krishna compare God with?,25
Which water reservoir did Krishna compare God with?,25
Which sage did Krishna compare God with?,25
Which tree did Krishna compare God with?,25
Which horse and elephant did Krishna compare God with?,25
Which weapon did Krishna compare God with?,25
Which aquatic being did Krishna compare God with?,25
Which bird did Krishna compare God with?,25
Which warrior did Krishna compare God with?,50
Which science did Krishna compare God with?,25
What letter did Krishna compare God with?,25
Which feminine quality did Krishna compare God with?,25
Which hymn did Krishna compare God with?,25
Which fraudulent activity did Krishna compare God with?,25
Which Pandava did Krishna compare God with?,25
Which secret did Krishna compare God with?,25
Can anything exist without God?,14
What are the limitations of God and his manifestations?,14
What is the source of power and energy in human beings?,5
Is it useful to have a detailed knowledge of how the universe functions?,1
Did Arjuna's delusion get dispelled?,20
Did Arjuna hear the Gita in detail?,57
When did Arjuna want to see Krishna's divine form?,12
Where in Gita did Arjuna ask Krishna to reveal his divine form?,6
Where in the Gita did Krishna start revealing his divine form to Arjuna?,6
What did Arjuna first see in Krishna's divine form?,12
Did Krishna show Arjuna the whole universe in his divine form?,12
Is it possible to see God with our own eyes?,14
What did Sanjay say on seeing Krishna's divine form?,39
How did Sanjay describe Krishna's divine form?,39
What was Krishna wearing when he showed his divine form?,25
How was the splendour of Krishna's divine form?,18
How vast was Krishna's divine form?,39
What was Arjuna's physical reaction on seeing Krishna's divine form?,50
Did Arjuna see other Gods in Krishna's divine form?,50
Did Krishna's divine form have a beginning and an end? What is the proof of God's existence? What is the proof of God? How do we know that God exists?,52
How can we describe Krishna's divine form?,2
"After seeing Krishna's divine form, was Arjuna convinced that he indeed is the supreme God?",12
How many arms and eyes did Krishna's divine form have?,2
Did Krishna's divine form invoke love or fear?,25
Are the devas afraid of the supreme God?,52
How do the Devas look upon God?,27
Was Arjuna terrified after seeing Krishna's divine form?,50
Why was Arjuna scared after seeing Krishna's divine form?,50
Did Arjuna feel comfortable on seeing Krishna's divine form?,50
Did Arjuna see the Kauravas inside Krishna?,50
Did Arjuna see warriors being crushed by Krishna?,12
What did Arjuna compare Krishna's mouth with?,53
What did Arjuna compare the creatures entering Krishna's mouth with?,53
How did Arjuna describe various living beings entering Krishna's divine form?,53
What did Arjuna ask Krishna to do after seeing his terrifying divine form?,50
Were the warriors in the Mahabharata war destined to die?,55
Was Arjuna merely an intrument in the war to carry out mass termination of human beings?,53
How did Krishna convince Arjuna that he is going to win in the war?,12
Was Arjuna choked with emotion on seeing Krishna's divine form?,50
Who is afraid of God?,59
Why do the sages bow down to God?,4
who is the knower as well as the object of knowledge?,49
What does Arjuna compare Krishna with?,12
Did Arjuna finally realise that Krishna was God himself?,50
When did Arjuna develop devotion towards Krishna?,12
Did Arjuna ever treat Krishna with disrespect?,50
Did Arjuna realise that Krishna was the highest being?,50
When did Arjuna ask for Krishna's mercy?,12
Was Arjuna delighted after seeing Krishna's divine form?,50
When did Arjuna ask Krishna to show his gracious form?,12
Had anyone seen Krishna's divine form before Arjuna?,12
Can we get to see Krishna's divine form through austerities? Can we get to see God through austerities?,52
Did Krishna get back to his usual form in the war?,25
When Krishna get back to his usual form in the war?,2
When did Arjuna gain his composure after seeing the divine form?,39
Is it easy to get to see God's divine  form? Is it easy to get to see God?,27
Can we get to see Krishna's divine form through rituals?,52
Is devotion necessary to know God?,27
What happens to those who have no enemies?,10
When did Arjuna start asking about devotion?,39
Who is considered to be the highest among Yogis?,17
What happens to those who meditate on formless God?,10
What happens after we have controlled our senses?,15
Is God with form or formless?,27
What is the use of having faith in God?,14
Is it useful to pray to God?,14
What should we fix our mind on during meditation? Where does Krishna talk about surrender? Where does Gita talk about surrender?,58
What do I do if I am unable to focus my mind?,23
What do I do if I am unable to practice Yoga?,32
What do I do if I am unable to do selfless service?,38
Is there anything better than meditation for spiritual growth?,23
Why should we develop compassion?,10
Are people with a firm conviction dear to God? Who is dear to God?,14
Are people free from fear and aversion dear to God?,59
Are people free from desires and agony dear to God? Who is a true devotee?,10
Are people free from hatred and full of devotion dear to God?,59
Are people free from all attachment dear to God?,42
Are people with a firm mind dear to God?,42
Are people with faith dear to God?,59
What is the concept of kshetra (field) and kshetrajna (knower of the field)?,58
Who is the kshetrajna (knower of all fields)?,36
What are the properties of the kshetra (field)?,8
Which is the most conclusive reference for learning Vedanta?,22
What are the various elements of Prakriti (physical nature)?,32
What all constitutes the kshetra (field)?,31
Are humility and sincerity useful for spiritual growth?,10
Is ego a hindrance in spiritual growth?,38
Is attachment to family members a hindrance to spiritual growth?,5
Does solitude help in spiritual growth?,15
What is true knowledge?,44
How can I obtain freedom from death?,51
How can we describe Brahman?,4
What is the relation between Gunas and Brahman?,13
Is it possible to comprehend Brahman?,61
Is there one undivided Brahman or multiple Brahmans?,61
How can I attain the state of Brahman?,1
How does it help to have the knowledge of kshetra and kshetrajna? Who is fit to attain salvation?,8
When did Prakriti and Purusha originate?,46
What is the role of the Self or Purusha in human experience?,1
Who experiences the nature around perceived through the sense organs?,5
What is the role of the Self or seer in the human body?,38
What is the benefit of gaining knowledge of Purusha and Prakriti?,31
What are the various ways of realising or perceiving the self within the body?,51
What happens if we have only a partial or slightly incorrect knowledge of the self?,23
Is it possible for a human or another living being to exist without the presence of the kshetrajna or self in the body?,33
Is it possible to see and experience things as they truly are?,47
How can we avoid injuring our own mind?,15
Are actions done by Prakriti (nature) or by the self or soul residing in the body?,23
Is it possible to perceive Brahman or consciousness in all beings?,33
Does the Self or soul undergo changes with time?,62
Can you give me an analogy to understand the immutability of consciousness or Purusha?,49
Can we think of consciousness like the sun which illuminates the whole world?,47
What is the use of learning to differentiate between Purusha (consciousness) and Prakriti (physical nature)?,26
Does Krishna truly reveal all spiritual knowledge in the Gita?,40
What happens to those who attain unity with God?,42
How are all living beings born in this universe?,54
Who are the father and the mother of the universe?,54
What are the gunas of prakriti?,46
What is sattva?,8
What is rajas?,36
What is tamas?,62
"What are the effects of sattva, rajas and tamas?",44
Which among the three gunas is the most powerful?,36
What is sign of sattva in a person?,1
What is the sign of rajas in a person?,4
What is the sign of tamas in a person?,5
What happens to a human being in whom sattva is predominant?,44
What happens to a human being in whom rajas is predominant? What happens to a human being in whom tamas is predominant?,1
What is the result of sattvic action? What is the result of rajasic action? What is the result of tamasic action?,44
What does sattva lead to? What does rajas lead to? What does tamas lead to? ,26
What happens to those who abide in sattva? What happens to those who abide in rajas? What happens to those who abide in tamas?,44
Who performs all the actions in this universe?,21
What happens when the Self goes beyond the three gunas of prakriti?,8
What did Arjuna wanted to know about the three gunas?,43
How does a person who has transcended the three gunas behave?,17
What is the attitude of a person who has transcended the three gunas?,17
How does a person who has transcended the three gunas treat pleasure and pain?,44
How does a person who has transcended the three gunas treat honor and dishonor?,61
What happens to those who serve God with unwavering devotion?,42
What is the relation between God and Brahman? Who is God? What is God?,27
What does the Gita say about the inverted peepul tree? What does the Gita say about the inverted asvattha tree?,22
What does the Krishna say about the asvattha tree?,55
What is the reference about the asvattha tree in the Gita? What is the reference about the peepal tree in the Gita?,11
What is the purpose or goal of life?,38
Is it possible to become completely free of desires? Is it possible to become completely free of dualities of life?,15
What happens to those who reach the supreme abode of God?,10
Why do human beings feel so attracted by sensual objects?,5
Does the soul or Self carry the mind with itself after death of the body?,15
How does the soul or self experiences the various sense objects?,15
Why can't all human beings perceive the soul or self?,38
Why can't we perceive the self or soul?,38
Where do the sun and moon draw their illumination from?,33
What is source of nourishment?,62
Does the soul or self also play a role in various bodily functions?,30
What is the source of memory and knowledge in this universe?,1
What is the difference between kshara and akshara purusha? Are there two kinds of purushas? How many kinds of Purushas are there?,58
Who supports the whole universe? Who is the supreme Purusha?,61
Why is God called purushottama or the supreme person?,34
What should be our attitude towards God?,42
What is the benefit of learning Gita? Why should we learn the Gita?,63
What are the qualities of people with a divine nature? ,42
What are the qualities of spiritual people? ,5
What are the qualities of people with a spiritual nature?,48
What are the qualities of a person of demonic nature? What are the qualities of a person of evil nature?,5
What does divine or spiritual nature in a person lead to? What does demonic nature in a person lead to?,48
Where in the Gita does Krishna describe people with demonic nature?,35
What are the traits of people with demonic nature?,48
What are the beliefs of people with demonic nature?,48
Why are some people so cruel and destructive? Why are some people so evil?,5
What is the result of insatiable desires?,30
What motivates people with a demonic nature to act?,48
Why are some people so unethical and immoral?,38
What is the attitude of a person with demonic nature?,48
What is the attitude of a person with evil nature?,42
What is the attitude of arrogant people?,21
Eventually what happens to people with a demonic nature? Eventually what happens to people with a evil nature?,48
What is the result of sacrifices and rituals performed by people of demonic nature? What is the result of sacrifices and rituals performed by people of evil nature?,48
How do egoistic people view God? How do evil people view God? How do demonic people view God?,42
Eventually what happens to people with a hateful nature? Eventually what happens to people with a cruel nature?,48
Is there any possibility of salvation for people with a demonic nature? Is there any possibility of salvation for people with an evil nature? ,30
What are the gateways to hell? Is there a concept of hell and heaven in hinduism? Which people go to hell?,44
What kind of people work for their inner development? What kind of people become spiritual? Can everyone become spiritual?,51
What happens to those who do not follow the scriptures? ,47
Is it necessary to follow the scriptures? Are scriptures relevant for modern times?,49
What did Arjuna want to know about people who do not follow the scriptures?,39
What are the three types of faith that people have?,21
Does each person have faith in something? Why do different people have faith in different things? What leads to the differences in faith we see among human beings?,21
What do the sattvic people worship? What do the rajasic people worship? What do the tamasic people worship?,33
What kind of austerities are performed by people of demonic nature? What kind of austerities are performed by people of evil nature?,30
Is it advisable to perform extreme austerities? Is it good to perform extreme austerities? Is it beneficial to perform extreme austerities?,62
How many kinds of foods are there?,49
"Which foods are considered to be sattvic? Which foods are considered to be pure? Are sweets sattvic, rajasic or tamasic?",44
"Which foods are considered to be rajasic? Which foods are considered to generate energy? Are sour foods sattvic, rajasic or tamasic?",44
"Which foods are considered to be tamasic? Which foods are considered to generate lethargy? Are stale foods sattvic, rajasic or tamasic?",32
What kind of sacrifice is considered sattvic? What kind of sacrifice is considered pure?,33
What kind of sacrifice is considered rajasic?,54
What kind of sacrifice is considered tamasic?,5
What is considered to be austerity of the body? What is considered to be bodily austerity?,15
What is considered to be austerity of speech? Is recitation of scriptures a good idea?,17
What is considered to be austerity of the mind? ,15
What is considered to be sattvic austerity? What is considered to be austerity of sattva? What is considered to be pure austerity?,32
What is considered to be rajasic austerity? What is considered to be austerity of rajas?,8
What is considered to be tamasic austerity? What is considered to be austerity of tamas?,23
What kind of gifts are considered to be sattvic? What kind of gifts are considered to be pure?,62
What kind of gifts are considered to be rajasic?,1
What kind of gifts are considered to be tamasic?,30
what is the meaning and significance of om tat sat? What is the threefold designation of Brahman?,49
What is the significance of Om? What is the meaning of Om? What is the significance of Aum? What is the meaning of AUM?,33
How should we perform sacrifices? What is the best way of performing sacrifices? How should we perform rituals? What is the best way of performing rituals? What does the word tat mean?,15
What is the meaning of Sat?,44
What is the significance of sat?,23
what is asat or untruth?,1
Was Arjuna curious about renunciation?,20
What is sannyasa? What is renunciation?,8
Should all actions be abandoned as evil?,21
How many types of tyaga are there?,31
